Trigram,Position 1,Position 2,Spacing,Mod 2,Mod 3,Mod 4,Mod 5,Mod 6,Mod 7,Mod 8,Mod 9,Mod 10,Mod 11,Mod 12,Mod 13,Mod 14,Mod 15,Mod 16,Mod 17,Mod 18,Mod 19,Mod 20
IEZ,12,20,8,0,,0,,,,0,,,,,,,,,,,,
IAV,27,360,333,,0,,,,,,0,,,,,,,,,,,
AVZ,28,145,117,,0,,,,,,0,,,,0,,,,,,,
AVZ,28,271,243,,0,,,,,,0,,,,,,,,,,,
AVZ,145,271,126,0,0,,,0,0,,0,,,,,0,,,,0,,
VZV,29,146,117,,0,,,,,,0,,,,0,,,,,,,
VZV,29,272,243,,0,,,,,,0,,,,,,,,,,,
VZV,146,272,126,0,0,,,0,0,,0,,,,,0,,,,0,,
ZVT,30,147,117,,0,,,,,,0,,,,0,,,,,,,
ZVT,30,273,243,,0,,,,,,0,,,,,,,,,,,
ZVT,147,273,126,0,0,,,0,0,,0,,,,,0,,,,0,,
VTB,31,148,117,,0,,,,,,0,,,,0,,,,,,,
VTB,31,274,243,,0,,,,,,0,,,,,,,,,,,
VTB,148,274,126,0,0,,,0,0,,0,,,,,0,,,,0,,
BCE,33,753,720,0,0,0,0,0,,0,0,0,,0,,,0,0,,0,,0
IAY,36,387,351,,0,,,,,,0,,,,0,,,,,,,
AYM,37,388,351,,0,,,,,,0,,,,0,,,,,,,
YMA,38,389,351,,0,,,,,,0,,,,0,,,,,,,
GWE,44,350,306,0,0,,,0,,,0,,,,,,,,0,0,,
WEW,45,351,306,0,0,,,0,,,0,,,,,,,,0,0,,
IFM,48,264,216,0,0,0,,0,,0,0,,,0,,,,,,0,,
BEA,53,569,516,0,0,0,,0,,,,,,0,,,,,,,,
VWA,59,326,267,,0,,,,,,,,,,,,,,,,,
ROM,64,502,438,0,0,,,0,,,,,,,,,,,,,,
ZBV,68,79,11,,,,,,,,,,0,,,,,,,,,
BVR,69,500,431,,,,,,,,,,,,,,,,,,,
BVR,69,681,612,0,0,0,,0,,,0,,,0,,,,,0,0,,
BVR,500,681,181,,,,,,,,,,,,,,,,,,,
WZB,78,628,550,0,,,0,,,,,0,0,,,,,,,,,
BVB,80,215,135,,0,,0,,,,0,,,,,,0,,,,,
BIW,82,379,297,,0,,,,,,0,,0,,,,,,,,,
WGH,84,282,198,0,0,,,0,,,0,,0,,,,,,,0,,
GHX,85,247,162,0,0,,,0,,,0,,,,,,,,,0,,
GCI,100,118,18,0,0,,,0,,,0,,,,,,,,,0,,
ZRG,128,443,315,,0,,0,,0,,0,,,,,,0,,,,,
RGB,129,580,451,,,,,,,,,,0,,,,,,,,,
RGB,129,660,531,,0,,,,,,0,,,,,,,,,,,
RGB,580,660,80,0,,0,0,,,0,,0,,,,,,0,,,,0
GBM,130,243,113,,,,,,,,,,,,,,,,,,,
TBW,149,212,63,,0,,,,0,,0,,,,,,,,,,,
TBW,149,275,126,0,0,,,0,0,,0,,,,,0,,,,0,,
